url,route_name,status_code,indexable,canonical,title,meta_description,h1,word_count_estimate,schema_types,in_sitemap,internal_links_in,internal_links_out,issue,recommended_action
https://barbarossoft.com.tr/,index,200,true,https://barbarossoft.com.tr/,"Barbarossoft | Kayseri Web Tasarım, SEO ve Google Ads","Barbarossoft; Kayseri merkezli butik dijital ajans olarak web tasarım, SEO, Google Haritalar ve Google Ads çözümlerini dönüşüm hedefiyle planlar.","İşletmeler İçin Web Tasarım, SEO ve Google Ads Çözümleri",1460,Answer|FAQPage|ProfessionalService|Question|WebSite,true,35,23,,Mevcut haliyle korunabilir; Search Console'da izlenmeli.
https://barbarossoft.com.tr/hizmetler,services_index,200,true,https://barbarossoft.com.tr/hizmetler,Hizmetler | Barbarossoft,"Web tasarım, kurumsal web sitesi, Kayseri SEO, yerel SEO, Google Haritalar, Google Ads, e-ticaret ve bakım hizmetlerini inceleyin.","Yerel işletmeler için web sitesi, SEO, Haritalar ve reklam altyapısı.",552,,true,8,17,,Mevcut haliyle korunabilir; Search Console'da izlenmeli.
https://barbarossoft.com.tr/kayseri-web-tasarim,service_kayseri-web-tasarim,200,true,https://barbarossoft.com.tr/kayseri-web-tasarim,Kayseri Web Tasarım ve Kurumsal Web Sitesi | Barbarossoft,"Kayseri'de mobil uyumlu, hızlı ve müşteri odaklı kurumsal web sitesi çözümleri. Web tasarım, teknik SEO ve dönüşüm altyapısı için Barbarossoft.",Kayseri Web Tasarım Hizmeti,679,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question|Service,true,34,27,,Mevcut haliyle korunabilir; Search Console'da izlenmeli.
https://barbarossoft.com.tr/kurumsal-web-tasarim,service_kurumsal-web-tasarim,200,true,https://barbarossoft.com.tr/kurumsal-web-tasarim,Kurumsal Web Tasarım ve Şirket Web Sitesi | Barbarossoft,"Kurumsal web tasarım hizmetiyle şirketiniz için güven veren, hızlı, mobil uyumlu ve ölçülebilir kurumsal web sitesi altyapısı hazırlayın.",Kurumsal Web Tasarım Hizmeti,726,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question|Service,true,34,27,,Mevcut haliyle korunabilir; Search Console'da izlenmeli.
https://barbarossoft.com.tr/kayseri-seo,service_kayseri-seo,200,true,https://barbarossoft.com.tr/kayseri-seo,Kayseri SEO Hizmeti ve SEO Danışmanlığı | Barbarossoft,"Kayseri SEO hizmetiyle teknik SEO, içerik planı, Search Console takibi, yerel görünürlük ve dönüşüm ölçümünü profesyonel bir yol haritasında birleştirin.",Kayseri SEO Hizmeti,735,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question|Service,true,34,27,,Mevcut haliyle korunabilir; Search Console'da izlenmeli.
https://barbarossoft.com.tr/yerel-seo,service_yerel-seo,200,true,https://barbarossoft.com.tr/yerel-seo,Yerel SEO Hizmeti | Bölgesel Google Görünürlüğü,"Yerel SEO hizmetiyle bölgesel arama görünürlüğünüzü; alaka düzeyi, mesafe, bilinirlik, web sitesi ve Google İşletme Profili uyumuyla güçlendirin.",Yerel SEO Hizmeti,684,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question|Service,true,34,27,,Mevcut haliyle korunabilir; Search Console'da izlenmeli.
https://barbarossoft.com.tr/google-ads-yonetimi,service_google-ads-yonetimi,200,true,https://barbarossoft.com.tr/google-ads-yonetimi,Google Ads Yönetimi | Reklam Optimizasyonu - Barbarossoft,"Google Ads arama kampanyaları, dönüşüm takibi, negatif kelime yönetimi ve bütçe optimizasyonu ile daha nitelikli müşteri talepleri.",Google Ads Yönetimi,656,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question|Service,true,34,27,,Mevcut haliyle korunabilir; Search Console'da izlenmeli.
https://barbarossoft.com.tr/google-haritalar-optimizasyonu,service_google-haritalar-optimizasyonu,200,true,https://barbarossoft.com.tr/google-haritalar-optimizasyonu,Google Haritalar Optimizasyonu ve İşletme Profili Yönetimi,"Google Haritalar optimizasyonu ve İşletme Profili yönetimiyle kategori, hizmet, çalışma saati, fotoğraf, yorum süreci ve web sitesi uyumunu düzenleyin.",Google Haritalar Optimizasyonu,671,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question|Service,true,34,27,,Mevcut haliyle korunabilir; Search Console'da izlenmeli.
https://barbarossoft.com.tr/e-ticaret-sitesi,service_e-ticaret-sitesi,200,true,https://barbarossoft.com.tr/e-ticaret-sitesi,E-Ticaret Sitesi | Satış Odaklı Web Çözümleri - Barbarossoft,"Ürünlerinizi düzenli, güven veren ve ölçülebilir bir e-ticaret altyapısıyla sunmanız için e-ticaret sitesi kurulumu ve optimizasyonu.",E-Ticaret Sitesi,653,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question|Service,true,34,27,,Mevcut haliyle korunabilir; Search Console'da izlenmeli.
https://barbarossoft.com.tr/web-sitesi-bakim-hizmeti,service_web-sitesi-bakim-hizmeti,200,true,https://barbarossoft.com.tr/web-sitesi-bakim-hizmeti,Web Sitesi Bakım Hizmeti | Güncelleme ve Destek - Barbarossoft,"Web sitenizin güncel, güvenli ve sorunsuz kalması için yedekleme, güncelleme, küçük içerik değişiklikleri ve performans kontrolleri.",Web Sitesi Bakım Hizmeti,645,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question|Service,true,34,27,,Mevcut haliyle korunabilir; Search Console'da izlenmeli.
